,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
0,2021,ENTERPRISE CRUDE PIPELINE LLC,28.94625,-95.42365,CRUDE OIL,1.5,0.0,1.5,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,28.959636,-95.413709,0.89,nearest_street,715,330,,,Freeport,TX,Brazoria County,77541,US,TIGER/Line® dataset from the US Census Bureau,0.0
1,2021,PERMIAN EXPRESS PARTNERS LLC,29.989279,-94.002547,CRUDE OIL,4.0,0.0,4.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,29.989969,-94.003122,0.99,rooftop,2300,N Twin City Hwy,,,Nederland,TX,Jefferson County,77627,US,Jefferson,0.0
2,2021,"ROSE ROCK MIDSTREAM OPERATING, LLC",35.927207,-96.760283,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,YES,2021,RUBBER,,35.927647,-96.761302,0.97,nearest_street,350551,E0750 Rd,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
3,2021,EXXONMOBIL PIPELINE CO,29.8431583,-95.2308028,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,640.0,0.0,50.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,29.843035,-95.229504,0.99,rooftop,8201,John Ralston Rd,,,Houston,TX,Harris County,77078,US,Greater Houston,590.0
4,2021,"DELEK CRUDE LOGISTICS, LLC.",32.47973,-94.83668,CRUDE OIL,15.0,0.0,15.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,32.479233,-94.841026,0.95,nearest_street,363,Ashcraft Ln,,,Longview,TX,Gregg County,75604,US,TIGER/Line® dataset from the US Census Bureau,0.0
5,2021,ENTERPRISE PRODUCTS OPERATING LLC,36.182675,-102.05046,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5.0,1.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,36.182675,-102.05046,0.05,nearest_place,,,,,Cactus,TX,Sherman County,79013,US,TIGER/Line® dataset from the US Census Bureau,6.0
6,2021,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",29.797146,-95.279005,CRUDE OIL,0.95,0.0,0.95,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,29.797042,-95.277828,0.99,rooftop,3905,Amoor St,,,Houston,TX,Harris County,77029,US,Harris,0.0
7,2021,"MEDALLION OPERATING COMPANY, LLC",31.85689,-101.430095,CRUDE OIL,8.0,0.0,8.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,31.857097,-101.430901,1.0,rooftop,5452,State Highway 158,,,Garden City,TX,Glasscock County,79739,US,Glasscock,0.0
8,2021,SUNOCO PARTNERS MARKETING & TERMINALS LP,29.992544,-93.992222,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,NO,CARBON STEEL,OTHER,,29.983909,-93.991624,0.92,nearest_street,800,Helena Ave,,,Nederland,TX,Jefferson County,77627,US,TIGER/Line® dataset from the US Census Bureau,0.0
9,2021,TORRANCE PIPELINE COMPANY LLC,33.804229,-118.28371,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,33.803493,-118.284089,0.99,rooftop,24327,Figueroa St,,,Carson,CA,Los Angeles County,90745,US,City of Carson,0.0
